id,num,img,position
38,3,DSC07279,"(5393.7099609375, 1249.4927978515625)",DSC07280,"(5250.306640625, 2566.8388671875)",DSC07281,"(4992.357421875, 3875.7939453125)"
39,3,DSC07279,"(5671.15966796875, 1237.0426025390625)",DSC07280,"(5530.64599609375, 2563.68603515625)",DSC07281,"(5277.76904296875, 3880.70751953125)"
40,3,DSC07279,"(5627.08837890625, 1234.36083984375)",DSC07280,"(5488.171875, 2558.564697265625)",DSC07281,"(5232.369140625, 3873.341064453125)"
41,3,DSC07279,"(5594.091796875, 1229.353515625)",DSC07280,"(5454.64111328125, 2550.918212890625)",DSC07281,"(5201.49658203125, 3868.4140625)"
42,3,DSC07279,"(5197.9580078125, 1221.0225830078125)",DSC07280,"(5052.5087890625, 2529.741455078125)",DSC07281,"(4792.3603515625, 3838.45654296875)"
43,3,DSC07279,"(5434.28466796875, 1210.4769287109375)",DSC07280,"(5294.46435546875, 2526.723876953125)",DSC07281,"(5036.42431640625, 3838.25439453125)"
44,3,DSC07279,"(5673.89306640625, 1200.5438232421875)",DSC07280,"(5538.24609375, 2526.242431640625)",DSC07281,"(5283.9609375, 3842.45703125)"
45,3,DSC07279,"(5594.0888671875, 1191.434326171875)",DSC07280,"(5456.751953125, 2513.0654296875)",DSC07281,"(5201.43505859375, 3826.7236328125)"
46,3,DSC07279,"(5398.96435546875, 1170.79541015625)",DSC07280,"(5261.42822265625, 2485.41259765625)",DSC07281,"(5000.7587890625, 3793.27197265625)"
47,3,DSC07279,"(5681.83837890625, 1162.624267578125)",DSC07280,"(5545.6416015625, 2487.785400390625)",DSC07281,"(5291.0107421875, 3802.17333984375)"
48,3,DSC07279,"(5755.515625, 1159.0223388671875)",DSC07280,"(5623.99853515625, 2487.144775390625)",DSC07281,"(5369.96630859375, 3802.267333984375)"
49,3,DSC07279,"(5638.98828125, 1158.0960693359375)",DSC07280,"(5504.376953125, 2481.2333984375)",DSC07281,"(5249.703125, 3793.98486328125)"
50,3,DSC07279,"(5403.515625, 1134.115234375)",DSC07280,"(5268.28076171875, 2447.17431640625)",DSC07281,"(5009.9873046875, 3755.96484375)"
51,3,DSC07279,"(5444.2939453125, 1133.1875)",DSC07280,"(5307.65185546875, 2449.4091796875)",DSC07281,"(5051.609375, 3758.711669921875)"
52,3,DSC07279,"(5880.7255859375, 1118.2308349609375)",DSC07280,"(5748.3603515625, 2449.384765625)",DSC07281,"(5496.41015625, 3767.565673828125)"
